,Des'n,H_x,G,Epoch,M,Peri.,Node,Incl.,e,n,a,propa,da,prope,de,propsini,dsini,g,s,H_y,NumOpps
125,00126,9.3,0.15,K239D,255.14519,328.21218,23.24015,2.92339,0.1052596,0.25866982,2.4395265,2.43886,1.2e-06,0.07228,1.2e-05,0.045947,3.8e-05,40.851255,-42.703906,9.3,63
126,00127,8.59,0.15,K239D,270.52375,92.20422,31.13011,8.24481,0.0649552,0.21510006,2.758729,2.755904,7.8e-07,0.09116,2.6e-05,0.136766,8.2e-06,56.392153,-58.237176,8.59,58
127,00128,7.74,0.15,K239D,58.87229,302.82491,76.15901,6.24705,0.1277271,0.21625948,2.74886,2.749968,4.5e-06,0.089106,0.0004,0.090865,0.00039,59.299432,-59.077713,7.74,80
128,00129,7.02,0.15,K239D,265.17223,110.69152,135.66496,12.27049,0.212923,0.2029889,2.8673972,2.870398,5e-05,0.224365,5.5e-05,0.208352,2.3e-05,59.272202,-77.557267,7.02,74
129,00130,7.49,0.15,K239D,230.8769,237.74775,144.98889,22.77755,0.2096674,0.17832589,3.1260298,3.118263,0.00011,0.186187,0.00072,0.37598,7.7e-05,42.767646,-69.74702,7.49,64
130,00131,10.03,0.15,K239D,243.866,161.71799,65.55925,4.96355,0.0690723,0.26005225,2.4308732,2.431576,2.7e-07,0.093673,0.00028,0.072304,3.1e-05,40.305467,-42.806522,10.03,60
131,00132,8.96,0.15,K239D,286.38691,255.53221,258.06621,24.97313,0.3871399,0.23333461,2.6130634,2.610882,1.3e-05,0.315852,3.7e-05,0.488623,2.7e-05,9.8021,-48.40384,8.96,47
132,00133,8.11,0.15,K239D,73.36934,290.3603,318.99258,7.21346,0.1342962,0.18388561,3.0626983,3.063128,3e-06,0.153249,0.00011,0.145945,0.0001,89.27087,-88.21684,8.11,64
133,00134,9.04,0.15,K239D,133.40348,85.5118,345.85809,11.61089,0.114897,0.24005648,2.5640536,2.564065,3.8e-08,0.109441,1.8e-05,0.207865,9.9e-06,42.977506,-46.636698,9.04,70
134,00135,8.39,0.15,K239D,34.51442,340.44092,343.55574,2.30318,0.2072011,0.26040255,2.4286927,2.428506,1e-06,0.174326,3.5e-05,0.046521,1.2e-05,41.708511,-46.712515,8.39,72
135,00136,9.8,0.15,K239D,313.0893,132.72752,186.40219,9.58067,0.0843944,0.28500582,2.2868283,2.286786,2.1e-07,0.018432,0.00025,0.173369,9.9e-05,31.891828,-34.818274,9.8,60
136,00137,8.39,0.15,K239D,324.27152,107.63503,202.17338,13.43163,0.211328,0.17846554,3.1243988,3.118078,3.5e-05,0.186217,0.0001,0.250014,3.4e-05,81.406604,-88.612756,8.39,61
137,00138,9.05,0.15,K239D,297.12627,260.64492,54.72199,3.20222,0.1618841,0.25709448,2.4494818,2.447779,4.6e-05,0.137056,0.00035,0.044251,7.1e-05,42.146845,-45.560443,9.05,62
138,00139,8.08,0.15,K239D,250.9381,166.69389,1.74932,10.87948,0.1704642,0.21161084,2.7889717,2.782845,1.4e-06,0.224157,0.00014,0.184199,3.3e-05,55.191886,-71.424118,8.08,70
139,00140,8.53,0.15,K239D,47.02751,197.12581,107.15778,3.18521,0.2143751,0.21794037,2.7347078,2.732388,5.2e-06,0.2008,1.5e-05,0.034069,1.1e-05,61.370312,-69.511348,8.53,59
140,00141,8.44,0.15,K239D,161.68919,57.78611,318.46783,11.89536,0.2134555,0.2263306,2.6666982,2.665919,5e-07,0.171897,4.2e-05,0.223904,4e-05,43.86667,-55.177239,8.44,56
141,00142,10.59,0.15,K239D,102.55385,291.73672,291.20629,2.23896,0.1342129,0.2620664,2.418402,2.418435,9e-06,0.1535,0.0017,0.056419,0.00013,40.530926,-45.040461,10.59,56
142,00143,9.38,0.15,K239D,65.20941,251.98953,332.96336,11.44397,0.0731373,0.21487846,2.7606253,2.761474,5.1e-05,0.093781,0.00017,0.21066,7.6e-06,49.029632,-55.603166,9.38,51
143,00144,8.15,0.15,K239D,11.91732,294.65473,76.16499,4.81521,0.2359788,0.22781692,2.6550868,2.654904,2.3e-05,0.190107,2e-05,0.066766,2.2e-05,55.392243,-61.784945,8.15,68
144,00145,8.46,0.15,K239D,98.78148,45.22321,77.3242,12.62058,0.1468196,0.22561742,2.6723149,2.672675,4.6e-06,0.1691,7.3e-06,0.202622,4.7e-06,46.367789,-56.339342,8.46,61
145,00146,8.54,0.15,K239D,51.52351,145.36114,83.93008,13.09965,0.0660591,0.21996528,2.7178989,2.718738,1.4e-06,0.091946,2.5e-05,0.20842,2.6e-06,47.342087,-53.322023,8.54,70
146,00147,8.79,0.15,K239D,191.71692,103.19506,248.21851,1.93253,0.0226645,0.17737018,3.1372489,3.136514,1.8e-06,0.009722,1.5e-05,0.05297,1.5e-06,401.85041,-83.377596,8.79,69
147,00148,7.66,0.15,K239D,346.23279,252.54865,144.99382,25.28774,0.1884235,0.21363066,2.7713646,2.771306,5.2e-07,0.131833,8.7e-05,0.425071,8.7e-07,14.475615,-44.593382,7.66,75
148,00149,10.58,0.15,K239D,359.62656,250.6536,159.61036,0.94015,0.0655263,0.30723459,2.1751505,2.174697,2.4e-06,0.081412,0.00051,0.014062,0.003,32.243413,-33.158706,10.58,57
149,00150,8.61,0.15,K239D,272.56037,154.00443,206.10807,2.2022,0.1237544,0.19121721,2.9839032,2.982119,1.6e-07,0.092133,2.4e-06,0.049088,3.3e-07,84.011199,-77.065537,8.61,68
150,00151,9.38,0.15,K239D,34.18467,132.7465,38.73695,6.4318,0.0356125,0.23616661,2.5921316,2.591734,2.1e-07,0.069685,0.00031,0.104114,0.00024,50.380609,-49.136774,9.38,50
151,00152,8.41,0.15,K239D,154.12856,58.84884,39.87856,12.12398,0.0820313,0.1772463,3.1387106,3.139283,1.4e-05,0.077628,3.3e-05,0.201404,4.3e-06,99.857266,-78.463558,8.41,57
152,00154,7.71,0.15,K239D,207.14077,165.4518,36.52647,21.03858,0.0755772,0.17189345,3.2035377,3.184442,2.6e-06,0.132023,1.1e-05,0.344333,6.1e-06,90.674303,-70.834106,7.71,65
153,00155,11.19,0.15,K239D,72.27242,46.72735,40.54685,11.36197,0.2726077,0.21484308,2.7609284,2.758635,8.3e-05,0.21389,0.0042,0.191535,0.0003,52.569453,-61.466459,11.19,34
154,00156,8.86,0.15,K239D,111.71119,338.37302,241.80123,9.77912,0.2258325,0.21868752,2.7284755,2.731007,0.00014,0.247161,0.014,0.180518,0.00021,52.876435,-73.718834,8.86,64
155,00157,11.2,0.15,K239D,210.17231,46.30626,62.03595,12.16358,0.1979868,0.23794903,2.5791707,2.579801,3.1e-07,0.215943,1e-05,0.198442,9.6e-06,44.841623,-55.63465,11.2,42
156,00158,9.39,0.15,K239D,178.18339,146.91243,277.65069,1.00531,0.0530359,0.20278606,2.869309,2.868781,2.9e-06,0.045239,7e-07,0.037524,3e-06,71.180701,-65.742455,9.39,58
157,00159,8.34,0.15,K239D,322.39811,333.21168,133.88471,6.11281,0.1002211,0.17972064,3.1098354,3.104667,1.8e-05,0.116366,2.4e-05,0.089456,2.3e-06,108.226369,-89.51329,8.34,67
158,00160,9.13,0.15,K239D,356.00048,50.21135,8.57303,3.82018,0.0666719,0.2186159,2.7290713,2.727686,3.8e-07,0.059448,0.0017,0.073222,0.0014,58.559985,-56.780223,9.13,64
159,00161,9.36,0.15,K239D,327.06634,294.90075,18.54957,9.05753,0.1367832,0.2685052,2.3795833,2.379354,6.9e-08,0.100017,7.6e-05,0.153487,2.3e-05,35.720015,-39.686325,9.36,53
160,00162,9.16,0.15,K239D,69.76558,115.67499,35.44626,6.09158,0.1822262,0.18813577,3.0163968,3.020438,5e-05,0.20896,3.9e-05,0.099716,5.6e-06,91.896558,-99.850724,9.16,61
161,00163,9.81,0.15,K239D,263.58597,298.52695,160.04263,4.81619,0.1924273,0.27079853,2.3661295,2.367124,3.2e-05,0.20937,0.00019,0.084069,0.0001,38.432044,-45.6346,9.81,58
162,00164,8.85,0.15,K239D,99.7816,284.01832,76.78717,24.47619,0.3470831,0.2309456,2.631053,2.632945,1.9e-06,0.273756,0.00052,0.428693,0.00013,16.981164,-49.683837,8.85,47
163,00165,7.85,0.15,K239D,232.1914,344.91829,302.45036,11.23433,0.0837877,0.17838961,3.1252853,3.128966,0.00015,0.081117,0.00011,0.211737,3.2e-05,92.23441,-77.226818,7.85,72
164,00166,9.92,0.15,K239D,97.91295,264.03102,128.89694,12.02367,0.2108263,0.22391755,2.6858224,2.685788,2.9e-05,0.175201,0.00028,0.199983,2.1e-05,47.211558,-57.842752,9.92,46
165,00167,9.43,0.15,K239D,214.28561,128.05683,166.10637,2.21756,0.0374143,0.2045758,2.8525496,2.853538,9.8e-07,0.04289,1.2e-06,0.037116,8e-07,69.919444,-64.627926,9.43,56
166,00168,8.31,0.15,K239D,222.62793,176.09862,205.92266,4.67071,0.0748033,0.15896848,3.3749088,3.378398,1.5e-06,0.029959,1.1e-06,0.089649,4.6e-08,225.674727,-132.238739,8.31,79
167,00169,9.59,0.15,K239D,237.43449,334.77289,354.73062,5.50059,0.1304419,0.27209845,2.3585876,2.358178,9.9e-08,0.093649,2.5e-05,0.095446,4.1e-05,37.255285,-39.498899,9.59,53
168,00170,9.39,0.15,K239D,357.03023,158.26399,301.19321,14.36217,0.061405,0.24153905,2.5535507,2.553703,2.5e-07,0.100172,5.6e-06,0.260283,6.6e-06,37.955158,-43.898245,9.39,55
169,00171,8.67,0.15,K239D,115.24158,55.44684,100.46683,2.54681,0.1320864,0.17800455,3.1297909,3.136129,1.5e-06,0.153076,1.1e-06,0.023384,1.3e-06,133.067232,-103.66855,8.67,71
170,00172,8.76,0.15,K239D,153.42852,359.28434,331.90401,10.01755,0.1146832,0.26858189,2.3791303,2.379855,9.6e-08,0.078173,0.0023,0.178144,0.00055,34.402987,-38.631062,8.76,68
171,00173,8.0,0.15,K239D,21.47555,228.71165,148.14989,14.19434,0.2101635,0.21695225,2.7430051,2.743213,5.7e-07,0.174358,0.00018,0.233707,0.00013,45.773287,-59.379808,8.0,77
172,00174,8.48,0.15,K239D,138.51778,290.54381,327.47058,12.09088,0.1427865,0.20327158,2.8647382,2.860072,8.2e-06,0.157318,2.8e-05,0.22844,9.7e-05,53.894857,-65.697847,8.48,61
173,00175,8.69,0.15,K239D,127.47635,319.75971,21.27094,3.21923,0.2324095,0.17347666,3.1840168,3.206418,0.00052,0.189702,0.00033,0.048586,0.0014,287.311257,-140.665012,8.69,75
174,00176,8.49,0.15,K239D,255.95437,188.75587,200.47036,22.68002,0.1718973,0.17378833,3.1802089,3.176052,0.0017,0.194891,0.0019,0.372782,0.00033,74.327161,-76.381668,8.49,61
175,00177,9.67,0.15,K239D,236.41627,39.55944,346.95164,1.38136,0.2342555,0.21360819,2.771559,2.769747,0.00011,0.198974,5.3e-05,0.038434,2.5e-05,64.183036,-72.400324,9.67,55
176,00178,9.56,0.15,K239D,64.46916,211.85301,51.08386,1.89349,0.0420108,0.25544486,2.460016,2.460159,1.1e-07,0.052831,5.6e-06,0.0227,3.7e-05,41.3583,-43.319552,9.56,64
177,00179,8.32,0.15,K239D,218.15566,104.30987,251.83006,7.81634,0.1098386,0.1921406,2.9743355,2.972336,8.3e-07,0.076186,0.00014,0.156957,7e-05,71.726968,-70.535741,8.32,65
178,00180,10.35,0.15,K239D,152.6722,175.92539,311.829,0.86777,0.1680107,0.21959654,2.7209406,2.721827,5.4e-06,0.191634,1.4e-05,0.032405,4.3e-06,60.56421,-67.466662,10.35,56
179,00181,8.12,0.15,K239D,136.02094,318.82154,143.00108,18.89161,0.2077724,0.17834268,3.1258337,3.12927,0.00017,0.222791,0.0024,0.306239,0.0018,69.969963,-88.918808,8.12,62
180,00182,9.18,0.15,K239D,342.39776,310.57251,107.1711,2.00537,0.1872159,0.26239109,2.4164065,2.41817,0.00018,0.176276,0.00013,0.020091,5.3e-05,41.568127,-46.446664,9.18,62
181,00183,9.54,0.15,K239D,124.04358,264.02347,141.86964,26.39269,0.3484523,0.2109315,2.7949567,2.792861,9e-07,0.245946,0.00091,0.468846,0.00021,10.041061,-50.407041,9.54,42
182,00184,8.42,0.15,K239D,206.18864,213.03204,331.21092,1.13116,0.0613842,0.17218249,3.1999514,3.182,1.5e-06,0.104243,3.5e-06,0.037279,2.2e-06,176.052496,-96.340294,8.42,69
183,00185,7.69,0.15,K239D,173.21878,223.82988,153.75922,23.25118,0.1272535,0.21740416,2.7392026,2.738555,1.9e-07,0.126542,7.4e-05,0.384181,2.6e-05,22.183516,-46.216484,7.69,74
184,00186,9.12,0.15,K239D,261.36792,315.52704,14.7174,13.18622,0.1495173,0.2714463,2.3623637,2.361845,6.1e-08,0.074368,0.0001,0.221245,7.9e-05,31.333263,-37.319887,9.12,46
185,00187,8.42,0.15,K239D,66.52868,196.68723,21.67249,10.58236,0.2404274,0.21876469,2.7278337,2.730676,4.5e-05,0.288009,0.00013,0.171453,0.00021,54.096553,-78.645438,8.42,59
186,00188,9.34,0.15,K239D,185.58295,69.82612,240.82136,11.70314,0.1791246,0.21486163,2.7607695,2.761847,1.1e-06,0.149998,4.5e-05,0.222395,5.1e-06,47.861042,-58.92719,9.34,51
187,00189,9.43,0.15,K239D,283.50597,169.52053,203.34286,5.17569,0.0359842,0.25700135,2.4500735,2.450364,9.5e-09,0.015055,5.9e-05,0.098314,3.4e-05,39.382801,-41.796329,9.43,60
188,00191,9.14,0.15,K239D,127.13105,226.38326,159.19162,11.5232,0.0875852,0.20004665,2.8954441,2.895526,1.6e-07,0.055118,4.9e-05,0.191439,1.7e-05,59.682747,-62.429642,9.14,56
189,00192,7.22,0.15,K239D,61.67422,30.56067,343.08826,6.79784,0.245881,0.26470031,2.4023323,2.402787,1.3e-05,0.209232,0.00054,0.121962,0.0004,38.693235,-46.891928,7.22,71
190,00193,9.84,0.15,K239D,221.37083,82.52164,349.49725,11.99399,0.2980606,0.23523395,2.5989786,2.600927,0.00012,0.275998,2.8e-05,0.232954,1.7e-05,42.184368,-62.25166,9.84,46
191,00194,7.88,0.15,K239D,288.10825,163.16856,159.25818,18.50864,0.2373599,0.23284437,2.6167299,2.61519,8.4e-05,0.19305,0.0011,0.295553,0.00017,34.363606,-50.854021,7.88,68
192,00195,9.29,0.15,K239D,280.83363,116.74456,6.95435,6.96088,0.0403392,0.20143322,2.8821416,2.877965,1.2e-05,0.063282,0.0019,0.119284,0.001,67.199805,-64.976344,9.29,63
193,00196,6.73,0.15,K239D,14.84479,203.59879,72.29905,7.26292,0.0147419,0.1794602,3.1128435,3.114096,1.2e-06,0.033687,0.00046,0.107563,0.00014,106.545693,-80.661548,6.73,84
194,00197,9.59,0.15,K239D,226.24637,246.00494,81.56894,8.7888,0.1630546,0.21731959,2.7399132,2.739743,5.3e-06,0.13087,0.00021,0.135888,2.1e-05,55.692361,-59.959429,9.59,70
195,00198,8.59,0.15,K239D,75.20366,89.08471,268.20826,9.32346,0.2278213,0.25574587,2.4580854,2.459017,6.4e-06,0.179588,8.1e-05,0.186849,2.2e-05,38.494508,-46.054894,8.59,59
196,00199,8.54,0.15,K239D,182.16359,179.59847,88.41673,15.47797,0.1827919,0.17534698,3.161335,3.175372,0.00095,0.199953,0.00027,0.236033,0.00055,128.0394,-103.166757,8.54,49
197,00200,8.49,0.15,K239D,214.29592,86.98219,324.24793,6.89847,0.1329236,0.21759743,2.7375804,2.737534,5.2e-07,0.104793,4.5e-05,0.135251,2.7e-05,55.486381,-57.999784,8.49,62
198,00201,8.59,0.15,K239D,303.66441,181.05613,156.90933,5.75604,0.1791289,0.22480014,2.6787879,2.678218,1.2e-06,0.145799,0.00013,0.089966,1.5e-05,55.285926,-58.607081,8.59,64
199,00202,7.7,0.15,K239D,129.21202,359.64905,136.70748,8.85058,0.10438,0.18327905,3.0694519,3.075372,0.00058,0.122646,0.0017,0.133077,0.0026,92.536399,-84.202092,7.7,74
200,00203,8.97,0.15,K239D,250.37297,60.17182,347.70252,3.17191,0.0597109,0.21774213,2.7363674,2.737173,3.3e-07,0.040148,2.3e-05,0.064378,1.2e-05,59.573692,-56.846592,8.97,75
201,00204,9.04,0.15,K239D,97.2393,55.76567,205.07725,8.28763,0.1737411,0.22553984,2.6729276,2.671169,3.6e-06,0.166177,0.0014,0.151351,4.1e-05,51.042514,-58.378136,9.04,59
202,00205,9.49,0.15,K239D,36.8075,172.4518,211.72276,10.70791,0.0367001,0.21285579,2.7780863,2.777336,4.9e-07,0.039797,0.0018,0.19494,5.1e-06,51.594342,-55.191629,9.49,57
203,00206,8.96,0.15,K239D,190.81124,302.59537,145.03139,3.77983,0.0397454,0.21727973,2.7402483,2.740725,8.5e-08,0.049556,2.1e-05,0.055182,2e-05,60.169619,-57.453269,8.96,69
204,00207,10.3,0.15,K239D,58.35019,192.01246,29.14135,3.80234,0.0294551,0.28558904,2.2837139,2.283987,5e-08,0.069164,0.0014,0.0627,0.0016,35.455132,-36.367962,10.3,57
205,00208,9.32,0.15,K239D,349.93909,128.82196,4.15103,1.74474,0.0107659,0.20046173,2.8914459,2.892871,2.8e-07,0.044964,1e-05,0.037202,1.4e-06,73.413614,-67.408248,9.32,70
206,00209,8.34,0.15,K239D,49.19512,249.78032,0.63322,7.17005,0.0549408,0.17661671,3.1461652,3.147368,1.8e-06,0.07385,1e-06,0.130034,1.4e-07,121.043789,-84.412336,8.34,69
207,00210,9.42,0.15,K239D,5.14586,13.97192,32.55704,5.26034,0.1242214,0.21935832,2.7229101,2.722049,1.4e-06,0.095881,0.00013,0.08259,0.00015,57.965525,-57.939277,9.42,59
208,00211,8.03,0.15,K239D,23.01318,173.40257,263.17387,3.87383,0.1548366,0.18542879,3.0456824,3.044257,3.7e-07,0.150405,1.4e-06,0.085645,1.6e-06,93.747873,-89.795875,8.03,71
209,00212,8.54,0.15,K239D,129.32504,105.42055,312.91538,4.277,0.102956,0.1790458,3.1176447,3.113071,3e-06,0.091643,7.3e-07,0.093004,2.4e-06,109.83805,-86.36474,8.54,72
210,00213,9.14,0.15,K239D,40.22967,162.55506,122.01689,6.80108,0.1441064,0.2158069,2.7527018,2.751317,0.00028,0.145802,0.00031,0.100979,0.00028,59.12233,-63.298089,9.14,63
211,00214,9.39,0.15,K239D,49.6802,136.1896,341.92757,3.43712,0.030598,0.23358944,2.6111625,2.611388,1.1e-06,0.083149,0.0024,0.066979,0.00035,52.711829,-50.382392,9.39,64
212,00215,9.62,0.15,K239D,285.46573,318.22632,24.89763,1.68143,0.033805,0.21418719,2.7665619,2.766646,3.8e-07,0.014525,7.4e-06,0.029117,5.8e-07,62.606433,-58.564022,9.62,61
213,00216,7.08,0.15,K239D,48.92084,179.68981,215.31375,13.12109,0.2509987,0.2111353,2.7931578,2.794866,0.00019,0.224834,3.5e-05,0.220721,3.6e-05,52.231966,-69.876111,7.08,82
214,00217,9.96,0.15,K239D,157.3322,155.17157,162.5711,10.52343,0.3102224,0.20312185,2.8661458,2.870719,7.1e-05,0.282246,5.3e-05,0.169269,3.8e-05,68.369827,-94.512192,9.96,52
215,00218,8.73,0.15,K239D,39.1162,62.40011,170.56233,15.19825,0.1165028,0.22628155,2.6670835,2.667286,2.1e-06,0.139932,6.1e-05,0.260836,6.8e-05,39.435303,-51.021253,8.73,55
216,00219,9.42,0.15,K239D,227.60749,142.72614,200.77465,10.86513,0.2229746,0.2727749,2.3546866,2.354048,3.2e-06,0.171476,0.00044,0.196665,0.00041,32.97477,-40.918772,9.42,52
217,00220,11.25,0.15,K239D,121.52334,78.60685,257.838,7.59607,0.2577556,0.27400505,2.3476337,2.348609,3.4e-05,0.203502,0.0002,0.156837,0.00011,34.980577,-43.242746,11.25,39
218,00221,7.78,0.15,K239D,198.11478,192.5543,141.73484,10.89054,0.1016971,0.18854968,3.0119807,3.012585,4.8e-05,0.074273,0.00052,0.171978,0.00022,74.105825,-72.276827,7.78,73
219,00222,9.68,0.15,K239D,88.09168,182.19466,80.11529,2.14904,0.1308806,0.17681994,3.143754,3.134858,9.5e-06,0.155241,3.4e-06,0.01811,1.4e-07,132.659222,-104.195728,9.68,63
220,00223,9.9,0.15,K239D,56.58767,65.44612,47.5391,1.92373,0.120249,0.18128363,3.0919348,3.090114,1.8e-06,0.134287,1.1e-06,0.026497,2.2e-07,109.355868,-93.592893,9.9,56
221,00224,8.76,0.15,K239D,238.9374,282.47228,352.75073,5.84563,0.0449733,0.22915536,2.6447383,2.645233,4.9e-06,0.103683,0.002,0.107426,0.00032,52.579567,-57.372637,8.76,63
222,00225,8.85,0.15,K239D,209.8837,103.83893,197.03126,20.85279,0.2621962,0.15758546,3.3946261,3.376305,4.9e-06,0.211831,2.4e-05,0.386968,6.3e-06,68.925276,-104.883898,8.85,55
223,00226,9.9,0.15,K239D,228.94098,153.83374,134.94848,15.96938,0.2037125,0.22070414,2.7118296,2.712827,7.3e-07,0.192648,2.1e-06,0.254734,6.6e-06,42.138123,-58.105046,9.9,50
224,00227,9.2,0.15,K239D,163.87529,269.69254,325.41012,9.05631,0.1952394,0.17463153,3.1699636,3.146882,0.00035,0.22184,0.00027,0.186032,0.00034,119.578804,-114.025928,9.2,56
225,00228,12.31,0.15,K239D,63.66747,19.17716,313.2527,2.5359,0.2422694,0.30174139,2.2014701,2.201414,6.1e-06,0.182561,0.0005,0.050314,0.0012,32.881023,-37.257522,12.31,42
226,00229,9.39,0.15,K239D,125.07468,309.07885,27.82751,2.07727,0.1368667,0.15575591,3.4211571,3.411922,7.1e-07,0.119748,2.6e-06,0.035326,1.7e-06,214.034396,-166.827315,9.39,65
227,00230,7.55,0.15,K239D,93.35872,138.92962,239.77391,9.45534,0.0616253,0.26816059,2.3816215,2.382335,4.5e-07,0.042402,0.00015,0.176746,4.6e-06,34.448264,-38.108186,7.55,72
228,00231,9.76,0.15,K239D,164.6382,269.08134,350.37543,5.08883,0.1558004,0.19746139,2.9206617,2.920446,1.7e-06,0.169311,1e-05,0.100899,3e-06,74.612077,-79.948032,9.76,58
229,00232,10.62,0.15,K239D,122.41407,51.86597,152.19856,6.06575,0.1740326,0.24168053,2.552554,2.552892,1.7e-05,0.230244,0.00056,0.097695,6.9e-05,53.853914,-59.477239,10.62,50
230,00233,8.49,0.15,K239D,7.79522,126.56871,221.94512,7.69244,0.1000202,0.227154,2.66025,2.660111,1.6e-07,0.067964,3.2e-05,0.146381,0.00013,50.460402,-51.556723,8.49,64
231,00234,9.15,0.15,K239D,352.40055,192.40458,144.49088,15.3754,0.245098,0.26752975,2.385364,2.385609,3.8e-05,0.174059,0.00016,0.241019,0.00018,31.100659,-41.468728,9.15,58
232,00235,9.02,0.15,K239D,343.17656,208.04104,65.98782,9.03025,0.0609037,0.20143688,2.8821067,2.881963,1.5e-07,0.074595,0.00018,0.140099,9.5e-05,65.332223,-65.136963,9.02,57
233,00236,8.28,0.15,K239D,122.73765,174.27896,185.80435,7.70033,0.1904498,0.2106061,2.797835,2.799726,1.1e-06,0.152617,2e-05,0.130805,9.2e-06,60.801515,-66.287493,8.28,70
234,00237,9.21,0.15,K239D,88.96145,201.50499,84.18187,9.74808,0.0716645,0.21432381,2.7653861,2.76257,1.8e-06,0.081067,0.00013,0.150011,1.2e-05,55.566133,-57.62263,9.21,62
235,00238,8.11,0.15,K239D,327.5566,210.43993,183.86795,12.41472,0.0910691,0.19894182,2.9061542,2.90697,7.9e-07,0.059577,3.3e-05,0.213955,1.4e-06,57.110401,-61.958936,8.11,65
236,00239,10.54,0.15,K239D,15.77494,209.63272,180.61855,6.1764,0.236426,0.19283742,2.967166,2.969992,9.2e-06,0.197926,4e-06,0.101787,3.5e-06,85.058605,-90.948672,10.54,53
237,00240,9.18,0.15,K239D,288.79622,300.95823,115.06311,2.10577,0.2088268,0.22684595,2.6626579,2.664629,1.5e-05,0.182571,3.5e-05,0.019917,3.2e-05,56.988711,-62.196617,9.18,66
238,00241,7.84,0.15,K239D,39.69915,80.30054,270.18631,5.5068,0.105533,0.18481702,3.0523997,3.049697,4.3e-07,0.069322,0.00013,0.117046,7.3e-05,88.32674,-77.901088,7.84,90
239,00242,9.55,0.15,K239D,161.12155,278.87477,206.89508,11.35238,0.1222646,0.20369965,2.8607234,2.862995,1.3e-05,0.138825,1.3e-05,0.208438,9e-06,56.471472,-65.213704,9.55,54
240,00243,10.11,0.15,K239D,205.35829,113.88168,323.59124,1.12987,0.044407,0.20369514,2.8607655,2.861619,6.9e-06,0.04562,2.9e-06,0.036431,1.2e-07,70.608098,-65.279112,10.11,61
241,00244,12.03,0.15,K239D,125.38343,166.21015,208.93062,2.84688,0.1371863,0.30741666,2.1742916,2.174481,1.5e-06,0.104448,0.002,0.05765,0.0014,31.93958,-33.455973,12.03,45
242,00245,8.0,0.15,K239D,228.19956,331.79392,61.0365,5.17933,0.1975971,0.18084746,3.0969042,3.092116,5.1e-05,0.170698,7.4e-05,0.071724,2.7e-05,109.396416,-100.7447,8.0,65
243,00246,8.66,0.15,K239D,32.36799,96.21037,162.27226,15.6214,0.1084881,0.22291031,2.6939071,2.694623,2.3e-07,0.107178,8.7e-05,0.265594,0.0006,39.687258,-50.230778,8.66,54
244,00247,8.2,0.15,K239D,280.10303,55.3699,0.04807,24.9575,0.246282,0.2173913,2.7393106,2.74106,1.7e-06,0.201927,0.00012,0.426967,5.1e-06,15.575295,-48.014658,8.2,67
245,00248,10.32,0.15,K239D,203.24426,11.5992,246.63657,4.06544,0.067698,0.25394234,2.4697101,2.470869,1.7e-07,0.074537,2.8e-05,0.085001,5.2e-05,40.984653,-43.779621,10.32,54
246,00249,11.45,0.15,K239D,203.20986,42.19539,334.68506,9.61998,0.2171645,0.26875171,2.378128,2.377508,4.2e-05,0.17903,2.1e-05,0.173966,6.2e-05,35.015621,-42.697424,11.45,41
247,00250,7.72,0.15,K239D,157.28107,75.746,23.80821,12.81975,0.1363121,0.17681351,3.1438303,3.146504,9.2e-05,0.124259,7.1e-05,0.222061,7.6e-05,100.314695,-82.886287,7.72,62
248,00251,10.01,0.15,K239D,46.54867,289.04769,155.87416,10.55136,0.0934157,0.18085953,3.0967664,3.095016,1.1e-05,0.096048,6.1e-06,0.1741,3.8e-06,89.771977,-79.95965,10.01,46
249,00252,9.99,0.15,K239D,222.63517,160.06498,201.92181,10.03566,0.0662118,0.17526369,3.1623365,3.157357,5.4e-06,0.050891,9.7e-07,0.180296,5.4e-07,116.057462,-78.937351,9.99,54
250,00253,10.4,0.15,K239D,44.32402,157.8358,179.52895,6.74081,0.2640927,0.22859884,2.6490289,2.647706,0.00013,0.224421,0.0033,0.113002,0.00029,53.14699,-65.491584,10.4,47
251,00254,11.88,0.15,K239D,49.13552,233.08752,28.42654,4.51204,0.1212761,0.30316729,2.1945618,2.194819,1.2e-06,0.118209,0.00045,0.07169,0.00034,32.356249,-34.480595,11.88,42
252,00255,10.55,0.15,K239D,105.6559,154.66002,13.58084,9.46362,0.0789579,0.21664906,2.7455636,2.745759,3.8e-07,0.129408,0.00047,0.16182,8.4e-05,53.735219,-59.414043,10.55,57
253,00256,9.97,0.15,K239D,123.71465,48.21759,182.9128,13.32638,0.064745,0.18959636,3.0008852,3.000006,2.8e-06,0.099181,7e-06,0.229118,1.8e-06,62.48211,-69.072704,9.97,49
254,00257,9.75,0.15,K239D,131.09029,31.88726,34.05174,3.61296,0.1123237,0.17883113,3.1201392,3.115294,4.9e-05,0.103266,1e-05,0.057588,2.1e-05,115.238372,-89.743361,9.75,60
255,00258,8.33,0.15,K239D,43.12802,155.51271,207.53784,14.32933,0.2054102,0.23307694,2.6149889,2.615264,0.00016,0.167896,0.00039,0.249055,9.8e-06,39.634496,-50.949378,8.33,71
256,00259,7.88,0.15,K239D,245.9049,166.65184,86.78804,10.80898,0.1297367,0.17788665,3.1311736,3.138681,1.5e-05,0.144079,6.8e-05,0.163847,2.9e-06,112.39587,-92.41117,7.88,57
