,Des'n,H_x,G,Epoch,M,Peri.,Node,Incl.,e,n,a,propa,da,prope,de,propsini,dsini,g,s,H_y,NumOpps
29,00030,7.6,0.15,K239D,103.07736,86.96374,307.42371,2.09373,0.1271106,0.27093241,2.36535,2.365631,8.7e-08,0.106183,0.0005,0.049653,0.00033,38.597086,-40.572204,7.6,80
30,00031,6.88,0.15,K239D,7.75519,61.76722,30.79789,26.3209,0.2159173,0.17552852,3.1591549,3.155069,2.4e-05,0.208449,0.00017,0.446249,4.3e-05,31.501776,-65.066098,6.88,64
31,00032,7.79,0.15,K239D,51.96519,338.37839,220.36442,5.52212,0.0816308,0.23679034,2.5875777,2.587035,3.2e-07,0.112053,6.6e-05,0.108333,0.0004,50.282578,-50.658039,7.79,75
32,00033,8.52,0.15,K239D,305.36347,338.59274,8.43784,1.85222,0.3316916,0.20236073,2.8733281,2.866178,0.00021,0.295061,9.7e-05,0.034778,6.6e-05,83.510951,-107.930515,8.52,74
33,00034,8.79,0.15,K239D,125.53117,329.94819,184.33111,5.49738,0.1066556,0.22384904,2.6863704,2.686788,4.9e-07,0.144908,9.4e-05,0.097484,4.2e-05,55.365128,-58.892572,8.79,71
34,00035,8.73,0.15,K239D,158.95185,214.03208,353.70553,7.91645,0.2229264,0.18961834,3.0006533,2.995743,0.00014,0.26365,8.4e-05,0.14612,4.8e-05,84.032695,-108.85031,8.73,67
35,00036,8.59,0.15,K239D,286.11339,47.83958,358.19508,18.37395,0.3061688,0.21669602,2.7451669,2.747394,2.1e-05,0.273422,7.1e-05,0.324444,3e-05,34.203806,-64.817439,8.59,56
36,00037,7.41,0.15,K239D,349.39951,62.18985,7.25598,3.0688,0.1754435,0.22934138,2.643308,2.642129,5.3e-07,0.159702,5.5e-05,0.057422,1.4e-05,54.798843,-58.076885,7.41,93
37,00038,8.51,0.15,K239D,352.3381,169.52756,295.50773,6.9515,0.1508936,0.21716415,2.7412205,2.740826,1e-06,0.16828,6.6e-05,0.135786,2.6e-05,56.070509,-63.548248,8.51,66
38,00039,5.97,0.15,K239D,283.01826,209.81255,156.9308,10.37052,0.1119827,0.21393115,2.7687689,2.768728,4.8e-07,0.069381,4.7e-05,0.170392,1.7e-05,53.88649,-56.663092,5.97,91
39,00040,6.55,0.15,K239D,210.11613,269.07148,94.15865,4.25553,0.0462104,0.28864981,2.2675413,2.267267,8.3e-07,0.020955,0.00019,0.065183,3.1e-05,34.768528,-35.198622,6.55,78
40,00041,7.66,0.15,K239D,117.81607,46.10773,178.05683,15.78456,0.2739814,0.21458283,2.7631603,2.764584,1.7e-05,0.304945,0.00012,0.267066,4.6e-05,44.482792,-76.791865,7.66,68
41,00042,7.71,0.15,K239D,256.69964,237.24531,84.16937,8.51063,0.222218,0.25812893,2.4429332,2.441265,4.1e-06,0.188781,0.00015,0.132633,3.5e-05,40.068577,-47.128143,7.71,80
42,00043,7.97,0.15,K239D,260.33327,16.17939,264.754,3.47043,0.1686216,0.30141339,2.2030669,2.203324,2.2e-05,0.142273,0.00026,0.07542,0.001,32.599765,-35.597435,7.97,80
43,00044,6.75,0.15,K239D,139.81875,344.13543,131.49022,3.71162,0.1492586,0.26135361,2.4227971,2.422633,3.3e-05,0.173394,0.0002,0.053357,3.4e-05,41.28783,-46.331764,6.75,84
44,00045,7.79,0.15,K239D,30.53635,87.48927,147.58722,6.60514,0.0831938,0.21966446,2.7203797,2.720739,1.8e-07,0.112615,7.3e-05,0.105481,6.3e-05,56.669334,-58.385923,7.79,79
45,00046,8.58,0.15,K239D,103.25773,177.05954,181.06885,2.35182,0.1725943,0.24571636,2.5245269,2.525936,7.3e-05,0.117732,0.00017,0.043211,6.2e-05,58.918588,-48.954429,8.58,81
46,00047,8.2,0.15,K239D,14.01575,315.31215,3.05146,4.97554,0.1300317,0.201608,2.8804756,2.880088,8.7e-06,0.112678,4.6e-05,0.090602,2.1e-05,70.373704,-69.795106,8.2,77
47,00048,7.17,0.15,K239D,358.41541,251.02059,183.43871,6.55896,0.0671379,0.17940845,3.113442,3.112398,1.9e-06,0.063647,7.6e-07,0.115035,6.1e-07,105.422428,-82.091774,7.17,93
48,00049,8.06,0.15,K239D,168.63392,113.2785,285.01162,3.20035,0.2217078,0.180648,3.0991834,3.089267,1.2e-05,0.198136,0.00019,0.081588,0.00049,109.786134,-107.804164,8.06,83
49,00050,9.5,0.15,K239D,164.10658,200.00894,173.46728,2.83939,0.2850542,0.22829779,2.6513572,2.64983,4.1e-05,0.249016,0.001,0.046647,0.00063,55.515843,-69.362441,9.5,70
50,00051,7.75,0.15,K239D,170.46199,1.70552,175.95567,9.97888,0.0671613,0.27092303,2.3654046,2.365715,4.1e-07,0.11438,2.3e-05,0.17403,1.1e-05,34.327948,-39.276191,7.75,89
51,00052,6.67,0.15,K239D,167.53558,342.90981,128.58122,7.47917,0.1112577,0.18116602,3.0932728,3.096758,3.4e-06,0.118564,8.2e-06,0.110897,5e-07,102.565928,-87.895738,6.67,90
52,00053,8.94,0.15,K239D,75.27365,314.24003,143.45623,5.18068,0.2026216,0.23252677,2.619112,2.618673,3.6e-05,0.215071,0.0059,0.079777,0.0005,53.391957,-62.247288,8.94,74
