Family Name,Number,Number of Members,d(80% Percent),Precision (80% Percent),d(80% Precision),Percent (80% Precision),d Nesvorny
Goodhue,12911,132,77.03851925962982,23.40909090909091,4.00200100050025,3.875968992248062,18.0
Moore_Sitterly,2110,17,64.032016008004,100.0,30.015007503751878,6.666666666666667,10.0
Tugela,1323,412,87.04352176088045,84.75452196382429,118.05902951475738,88.01955990220048,50.0
Eugenia,45,246,58.029014507253635,53.09973045822103,18.009004502251127,27.346938775510203,35.0
Shukla,12586,25,41.02051025512757,90.47619047619048,12.006003001500751,20.833333333333336,20.0
2008 OV23,435544,90,68.03401700850426,61.73913043478261,19.009504752376188,26.96629213483146,20.0
Chleborad,61203,20,68.03401700850426,61.038961038961034,35.01750875437719,52.54237288135594,20.0
2005 WV105,217472,37,74.03701850925464,90.9090909090909,96.04802401200601,100.0,40.0
2001 PG20,63530,419,59.02951475737869,97.05014749262537,181.09054527263632,99.27007299270073,90.0
2007 DM10,190237,41,56.028014007003506,86.8421052631579,111.05552776388195,100.0,50.0
1994 AO1,18429,38,67.03351675837919,100.0,176.08804402201102,100.0,20.0
Algoa,1394,27,77.03851925962982,75.0,62.03101550775388,61.53846153846154,50.0
2001 TS117,77899,257,143.07153576788394,98.54368932038835,823.4117058529265,98.4251968503937,200.0
Feodosia,1048,125,60.030015007503756,82.35294117647058,65.03251625812906,82.92682926829268,40.0
Burnett,5798,81,76.03801900950475,56.730769230769226,43.02151075537769,51.35135135135135,58.0
4727 P_L,37455,285,138.06903451725864,71.15384615384616,50.025012506253134,37.410071942446045,40.0
Europa,52,250,99.0495247623812,47.2463768115942,32.016008004002,36.09756097560975,50.0
Avsyuk,3324,222,42.02101050525263,81.30841121495327,48.024012006003005,82.56880733944955,30.0
2002 FX3,126948,14,190.0950475237619,73.33333333333333,104.05202601300651,57.14285714285714,30.0
1999RX33,70208,16,148.07403701850927,85.71428571428571,50.025012506253134,26.666666666666668,20.0
Tantawi,6142,114,63.03151575787894,77.58620689655173,55.02751375687844,75.0,30.0
Velleda,126,308,62.03101550775388,86.74698795180723,84.04202101050527,94.07407407407408,70.0
Kira,1156,33,128.064032016008,72.22222222222221,40.020010005002504,12.5,70.0
Interamnia,704,413,72.03601800900451,92.65536723163842,274.13706853426714,99.27007299270073,50.0
1999 CG62,26369,43,211.1055527763882,100.0,9.004502251125563,2.380952380952381,50.0
2008 BO31,352479,50,69.03451725862932,75.0,23.011505752876438,24.489795918367346,30.0
van der Laan,2823,136,55.02751375687844,90.17857142857143,88.04402201100551,97.6,60.0
Bradshaw,8223,48,73.03651825912956,76.0,51.02551275637819,59.57446808510638,20.0
1999 XB232,41331,23,130.06503251625813,85.71428571428571,90.04502251125564,59.09090909090909,20.0
Innanen,3497,261,45.02251125562782,85.53719008264463,55.02751375687844,89.92248062015504,50.0
Chesneau,6065,351,84.04202101050527,65.80310880829016,9.004502251125563,1.257861635220126,60.0
Maca,5228,47,120.06003001500751,47.43589743589743,22.011005502751377,26.08695652173913,30.0
George,3854,261,149.07453726863432,78.03921568627452,17.008504252126066,1.6064257028112447,130.0
Principia,2653,131,39.01950975487744,99.01960784313727,77.03851925962982,98.4126984126984,50.0
Chaliapin,2562,271,60.030015007503756,42.53393665158371,12.006003001500751,25.53191489361702,22.0
Khama,1357,62,266.13306653326663,26.486486486486488,20.010005002501252,6.557377049180328,30.0
Abastumani,1390,65,131.0655327663832,96.22641509433963,614.3071535767884,98.4375,40.0
2000 UJ87,106302,489,82.04102051025514,75.4826254826255,53.02651325662832,66.80327868852459,30.0
1990 OE5,16472,58,59.02951475737869,30.201342281879196,24.012006003001503,39.285714285714285,7.0
1999 XU240,157940,19,151.07553776888446,83.33333333333334,164.08204102051027,84.21052631578947,10.0
Bellona,28,958,30.015007503751878,84.31590656284762,38.019009504752376,86.18143459915612,30.0
1999 AE7,22766,5,64.032016008004,100.0,19.009504752376188,25.0,10.0
Aeternitas,446,447,47.02351175587794,84.7255369928401,64.032016008004,86.03603603603604,40.0
2002 OS10,78225,88,66.03301650825414,81.3953488372093,70.03501750875438,81.60919540229885,60.0
Hawke,3452,116,360.18009004502255,36.58536585365854,36.018009004502254,12.76595744680851,100.0
Joensuu,1524,201,64.032016008004,63.1578947368421,15.007503751875939,16.923076923076923,40.0
Florentina,321,209,57.02851425712857,6.25,3.001500750375188,1.4563106796116505,10.0
2001 SV124,77882,316,63.03151575787894,61.63682864450127,7.003501750875438,1.3201320132013201,45.0
Liriope,414,14,82.04102051025514,100.0,15.007503751875939,7.6923076923076925,70.0
1995 FH2,249576,78,154.07703851925964,54.385964912280706,26.013006503251628,20.51282051282051,30.0
Wratislavia,690,820,97.04852426213107,83.35451080050827,159.07953976988495,94.13919413919413,30.0
1990 QZ5,11048,35,105.05252626313157,60.46511627906976,22.011005502751377,12.121212121212121,50.0
Kodaihasu,4291,16,77.03851925962982,75.0,32.016008004002,26.666666666666668,20.0
Bezovec,1963,354,97.04852426213107,69.35064935064935,8.0040020010005,1.1976047904191618,65.0
Tomhamilton,4897,254,47.02351175587794,67.57679180887372,4.00200100050025,1.6064257028112447,20.0
Ulrike,885,45,119.05952976488246,73.91304347826086,40.020010005002504,35.714285714285715,30.0
