Family Name,Number,Number of Members,d(80% Percent),Precision (80% Percent),d(80% Precision),Percent (80% Precision),d Nesvorny
Schlichting,9522,9,136.06803401700853,100.0,40.020010005002504,25.0,100.0
2000 BV3,15104,78,107.0535267633817,84.93150684931507,146.07303651825913,84.4155844155844,30.0
Tuchkova,3803,7,118.05902951475738,83.33333333333334,100.05002501250627,66.66666666666666,10.0
1998 GC3,16940,40,55.02751375687844,50.0,10.005002501250626,7.894736842105263,20.0
Andytran,29880,44,133.06653326663331,40.476190476190474,13.006503251625814,6.976744186046512,20.0
2006 KU114,236657,303,157.07853926963483,73.55623100303951,111.05552776388195,68.31683168316832,70.0
Jacchia,2079,125,61.03051525762882,53.89221556886228,16.008004002001,17.699115044247787,35.0
Istria,183,301,132.06603301650827,78.43137254901961,128.064032016008,78.66666666666666,80.0
2001 OH105,54934,37,115.0575287643822,82.85714285714286,143.07153576788394,88.88888888888889,50.0
2010 WK8,365736,40,222.1110555277639,91.42857142857143,397.19859929964986,90.0,50.0
Nipponia,727,510,37.01850925462732,86.11713665943601,55.02751375687844,88.95582329317268,20.0
Coelestina,237,104,41.02051025512757,83.6734693877551,6.003001500750376,3.8834951456310676,40.0
Takehiro,8737,569,103.05152576288145,49.94350282485876,25.012506253126567,34.719710669077756,40.0
Wilhelmina,392,45,149.07453726863432,42.35294117647059,50.025012506253134,29.545454545454547,40.0
Katsurahama,2961,142,35.01750875437719,53.888888888888886,10.005002501250626,14.754098360655737,25.0
van der Bos,1663,285,55.02751375687844,52.911392405063296,6.003001500750376,3.0534351145038165,30.0
Iclea,286,143,199.09954977488746,98.26086956521739,389.19459729864934,100.0,50.0
2002 CS52,42357,216,57.02851425712857,76.95852534562212,44.022011005502755,66.66666666666666,40.0
2012 PM61,0,35,31.01550775387694,93.33333333333333,55.02751375687844,91.42857142857143,15.0
Yrsa,351,242,45.02251125562782,66.78200692041523,17.008504252126066,39.41908713692946,20.0
Kawakita,7504,19,164.08204102051027,87.5,302.1510755377689,88.88888888888889,10.0
Michelangelo,3001,42,469.2346173086544,97.05882352941177,1208.6043021510757,97.5609756097561,200.0
Pamina,539,81,38.019009504752376,70.73170731707317,12.006003001500751,11.11111111111111,37.0
Akusekijima,10164,18,91.0455227613807,77.77777777777779,76.03801900950475,70.58823529411765,10.0
Tercidina,345,429,73.03651825912956,80.1526717557252,77.03851925962982,82.48730964467005,80.0
Iitatemura,8272,41,44.022011005502755,91.42857142857143,65.03251625812906,100.0,40.0
Siegena,386,168,85.04252126063032,92.36111111111111,246.1230615307654,98.79518072289156,100.0
1998 TA6,21591,47,38.019009504752376,71.42857142857143,23.011505752876438,52.27272727272727,15.0
Ornamenta,350,716,75.0375187593797,75.0,7.003501750875438,0.5772005772005772,70.0
2000 FO47,118564,84,34.01700850425213,64.70588235294117,13.006503251625814,21.951219512195124,20.0
1999 CQ75,53209,189,39.01950975487744,93.125,93.04652326163082,96.2566844919786,20.0
Prokne,194,176,70.03501750875438,69.6969696969697,48.024012006003005,65.3179190751445,50.0
Thyra,115,56,118.05902951475738,70.96774193548387,13.006503251625814,7.2727272727272725,30.0
McDonalda,991,260,90.04502251125564,34.47037701974865,7.003501750875438,2.928870292887029,20.0
Altona,850,73,59.02951475737869,78.87323943661971,23.011505752876438,17.142857142857142,60.0
Harmonia,40,160,218.10905452726365,77.30061349693251,20.010005002501252,2.5316455696202533,70.0
1998 YB3,15454,340,78.03901950975488,90.47619047619048,232.11605802901454,98.7987987987988,50.0
2008 YL101,484743,16,189.09454727363683,92.85714285714286,54.02701350675338,31.25,30.0
Industria,389,464,54.02701350675338,69.24686192468619,20.010005002501252,15.254237288135593,50.0
Graculus,4471,136,141.07053526763383,86.99186991869918,314.15707853926966,99.25373134328358,50.0
Alamosa,2927,14,86.04302151075538,83.33333333333334,80.04002001000501,61.53846153846154,20.0
Cindygraber,7605,85,215.10755377688847,51.96850393700787,18.009004502251127,9.63855421686747,30.0
1998 WW16,49362,68,136.06803401700853,74.64788732394366,94.04702351175588,71.21212121212122,30.0
1996 WU2,32983,50,91.0455227613807,21.787709497206702,20.010005002501252,25.0,20.0
Alvema,3567,260,82.04102051025514,72.14285714285714,18.009004502251127,6.349206349206349,55.0
Vanadis,240,17,90.04502251125564,65.0,45.02251125562782,50.0,60.0
1998 HD130,37981,419,59.02951475737869,97.05014749262537,181.09054527263632,99.27007299270073,90.0
2001 FP147,316974,53,381.1905952976488,66.66666666666666,92.04602301150575,35.84905660377358,150.0
2002 TE180,78705,24,260.13006503251626,85.71428571428571,306.15307653826915,86.95652173913044,10.0
Patria,1347,132,59.02951475737869,79.83870967741935,53.02651325662832,74.79674796747967,50.0
1999 NR38,31810,103,57.02851425712857,93.18181818181817,94.04702351175588,100.0,60.0
Zelima,633,88,169.08454227113558,66.66666666666666,17.008504252126066,3.614457831325301,10.0
2001 SQ46,77873,21,82.04102051025514,94.11764705882352,21.010505252626317,20.0,50.0
Vassar,1312,21,136.06803401700853,51.61290322580645,32.016008004002,25.0,30.0
Helwerthia,801,175,53.02651325662832,74.03314917127072,42.02101050525263,69.04761904761905,40.0
Fukui,6924,146,80.04002001000501,89.68253968253968,311.15557778889445,99.29078014184397,80.0
Kutaissi,1289,371,31.01550775387694,44.537815126050425,3.001500750375188,2.9940119760479043,10.0
Dione,106,261,96.04802401200601,48.0,33.01650825412707,33.19502074688796,55.0
Hebe,6,112,180.09004502251128,60.83916083916085,63.03151575787894,41.66666666666667,80.0
Bascom,6084,10,126.06303151575788,100.0,56.028014007003506,11.11111111111111,10.0
Kazuhiko,26170,9,123.0615307653827,100.0,11.005502751375689,12.5,10.0
1999 AW22,101567,293,378.18909454727367,69.73293768545994,173.08654327163583,46.41638225255973,50.0
Maximiliana,1217,28,33.01650825412707,83.33333333333334,49.02451225612807,100.0,20.0
Paloque,1598,117,47.02351175587794,77.88461538461539,45.02251125562782,79.20792079207921,40.0
Illyria,1160,692,40.020010005002504,69.43291839557399,25.012506253126567,60.54313099041534,30.0
1993 FO10,48506,90,135.06753376688346,34.82587064676617,7.003501750875438,2.272727272727273,20.0
2001 BV20,63235,35,72.03601800900451,96.42857142857143,110.05502751375688,87.87878787878788,60.0
2000 QK75,34216,22,71.03551775887945,89.47368421052632,36.018009004502254,47.61904761904761,20.0
Robeson,2328,223,80.04002001000501,85.92233009708737,133.06653326663331,95.92760180995475,20.0
2012 PM61,0,35,86.04302151075538,90.0,133.06653326663331,100.0,15.0
Majella,7233,17,42.02101050525263,86.66666666666667,58.029014507253635,100.0,10.0
Jean_Jacques,1461,174,89.04452226113057,91.3907284768212,214.1070535267634,100.0,30.0
Patsy,3310,826,44.022011005502755,60.74498567335244,6.003001500750376,11.055276381909549,15.0
Svatopluk,11014,159,57.02851425712857,75.15151515151514,11.005502751375689,2.5806451612903225,50.0
Malabar,754,79,166.0830415207604,83.78378378378379,20.010005002501252,5.128205128205128,60.0
Giomus,1599,322,97.04852426213107,31.38500635324015,9.004502251125563,4.220779220779221,25.0
1986 QN1,48412,100,64.032016008004,75.72815533980582,60.030015007503756,78.57142857142857,60.0
Endymion,342,33,103.05152576288145,17.80821917808219,14.007003501750876,9.375,20.0
Phaedra,174,170,83.0415207603802,82.6086956521739,94.04702351175588,83.13253012048193,60.0
Mimi,1127,82,84.04202101050527,65.0,18.009004502251127,4.938271604938271,60.0
1979 MM3,19093,71,92.04602301150575,75.92592592592592,24.012006003001503,7.8431372549019605,90.0
Helga,522,34,196.09804902451228,100.0,396.1980990495248,100.0,200.0
Yatskiv,2728,48,81.04052026013007,69.81132075471697,64.032016008004,69.56521739130434,30.0
1990SB1,9332,8,63.03151575787894,85.71428571428571,59.02951475737869,71.42857142857143,10.0
Aivazovskij,3787,12,67.03351675837919,90.0,47.02351175587794,36.36363636363637,15.0
Asia,67,569,37.01850925462732,85.3515625,44.022011005502755,87.47697974217311,40.0
Records,30718,95,91.0455227613807,81.31868131868131,13.006503251625814,4.301075268817205,40.0
2004 BQ90,211772,295,57.02851425712857,89.272030651341,90.04502251125564,93.81443298969072,70.0
Irma,177,413,52.026013006503256,88.92128279883383,77.03851925962982,95.25065963060686,60.0
Choustnik,7403,57,96.04802401200601,61.111111111111114,16.008004002001,10.909090909090908,30.0
Titania,593,297,47.02351175587794,90.03831417624522,90.04502251125564,93.89830508474576,40.0
Crescentia,660,805,32.016008004002,78.22277847309135,29.014507253626817,77.24935732647815,20.0
1999 VT1,20674,35,73.03651825912956,100.0,2.001000500250125,2.941176470588235,10.0
Toni,924,50,48.024012006003005,91.30434782608695,116.05802901450727,100.0,50.0
Huberta,260,190,101.05052526263133,89.22155688622755,157.07853926963483,91.93548387096774,70.0
Veniakaverin,2458,177,172.08604302151076,42.36760124610592,20.010005002501252,11.834319526627219,30.0
Hertha,135,1473,26.013006503251628,73.05593451568895,5.002501250625313,4.826546003016592,20.0
