,Family Name,Number,Number of Members
1,Moore_Sitterly,2110,17
11,Algoa,1394,27
18,2002 FX3,126948,14
19,1999RX33,70208,16
39,1999 XU240,157940,19
41,1999 AE7,22766,5
48,Liriope,414,14
52,Kodaihasu,4291,16
56,Schlichting,9522,9
58,Tuchkova,3803,7
60,Andytran,29880,44
75,Kawakita,7504,19
76,Michelangelo,3001,42
95,Alamosa,2927,14
103,2002 TE180,78705,24
108,Vassar,1312,21
114,Bascom,6084,10
115,Kazuhiko,26170,9
122,2000 QK75,34216,22
137,1990SB1,9332,8
